t[s],U_A,U_B
-9.64178757,0.30152290,2.06610300
-9.64045357,0.30152290,2.06915500
-9.63911957,0.30152290,2.07373300
-9.63778557,0.30152290,2.07678500
-9.63645157,0.30152290,2.08136200
-9.63511757,0.30304880,2.08746600
-9.63378357,0.30457470,2.09051800
-9.63244957,0.30457470,2.09662200
-9.63111557,0.30579550,2.09967400
-9.62978157,0.30732140,2.10272500
-9.62844757,0.30854210,2.10577700
-9.62711357,0.30854210,2.11035500
-9.62577957,0.31006810,2.11340700
-9.62444557,0.31159400,2.11645900
-9.62311157,0.31159400,2.12256200
-9.62177757,0.31159400,2.12714000
-9.62044357,0.31159400,2.13171800
-9.61910957,0.31281470,2.13477000
-9.61777557,0.31281470,2.13934800
-9.61644157,0.31281470,2.14392500
-9.61510757,0.31434070,2.14697700
-9.61377357,0.31586660,2.15002900
-9.61243957,0.31586660,2.15460700
-9.61110557,0.31708730,2.15765900
-9.60977157,0.31861320,2.16223600
-9.60843757,0.32013920,2.16681400
-9.60710357,0.32135990,2.16986600
-9.60576957,0.32135990,2.17291800
-9.60443557,0.32135990,2.17749600
-9.60310157,0.32288580,2.18054700
-9.60176757,0.32288580,2.18359900
-9.60043357,0.32288580,2.18665100
-9.59909957,0.32441170,2.19122900
-9.59776557,0.32563250,2.19428100
-9.59643157,0.32715840,2.19733300
-9.59509757,0.32868440,2.20191000
-9.59376357,0.32990510,2.20496200
-9.59242957,0.32990510,2.20801400
-9.59109557,0.33143100,2.21259200
-9.58976157,0.33295690,2.21564400
-9.58842757,0.33417770,2.21869600
-9.58709357,0.33570360,2.22327300
-9.58575957,0.33722950,2.22632500
-9.58442557,0.33845030,2.22937700
-9.58309157,0.33845030,2.23242900
-9.58175757,0.33845030,2.23700700
-9.58042357,0.33845030,2.24005900
-9.57908957,0.33845030,2.24311000
-9.57775557,0.33845030,2.24768800
-9.57642157,0.33997620,2.25074000
-9.57508757,0.33997620,2.25379200
-9.57375357,0.33997620,2.25837000
-9.57241957,0.34150210,2.26142100
-9.57108557,0.34150210,2.26447300
-9.56975157,0.34272290,2.26752500
-9.56841757,0.34272290,2.27210300
-9.56708357,0.34424880,2.27515500
-9.56574957,0.34424880,2.27820700
-9.56441557,0.34424880,2.28278400
-9.56308157,0.34424880,2.28583600
-9.56174757,0.34424880,2.28888800
-9.56041357,0.34424880,2.29346600
-9.55907957,0.34424880,2.29651800
-9.55774557,0.34577470,2.29957000
-9.55641157,0.34577470,2.30414700
-9.55507757,0.34699540,2.30719900
-9.55374357,0.34699540,2.31025100
-9.55240957,0.34852140,2.31330300
-9.55107557,0.35004730,2.31788100
-9.54974157,0.35004730,2.32245900
-9.54840757,0.35126810,2.32703600
-9.54707357,0.35401470,2.33008800
-9.54573957,0.35401470,2.33314000
-9.54440557,0.35401470,2.33619200
-9.54307157,0.35401470,2.34077000
-9.54173757,0.35401470,2.34382200
-9.54040357,0.35401470,2.34687400
-9.53906957,0.35401470,2.35297700
-9.53773557,0.35401470,2.35755500
-9.53640157,0.35401470,2.36213300
-9.53506757,0.35401470,2.36671000
-9.53373357,0.35401470,2.36976200
-9.53239957,0.35401470,2.37434000
-9.53106557,0.35401470,2.37739200
-9.52973157,0.35554060,2.38044400
