t[s],U_A,U_B
-9.22727691,0.53041170,2.93282900
-9.22594291,0.53041170,2.93893200
-9.22460891,0.53041170,2.94045800
-9.22327491,0.53041170,2.94351000
-9.22194091,0.53041170,2.94656200
-9.22060691,0.53041170,2.95114000
-9.21927291,0.53041170,2.95571800
-9.21793891,0.53041170,2.95877000
-9.21660491,0.53041170,2.96334700
-9.21527091,0.53041170,2.96639900
-9.21393691,0.53041170,2.97097700
-9.21260291,0.53041170,2.97555500
-9.21126891,0.53041170,2.98013200
-9.20993491,0.53041170,2.98318400
-9.20860091,0.53041170,2.98776200
-9.20726691,0.53041170,2.99081400
-9.20593291,0.53041170,2.99386600
-9.20459891,0.53041170,2.99844400
-9.20326491,0.53041170,2.99996900
-9.20193091,0.53041170,3.00454700
-9.20059691,0.53041170,3.00912500
-9.19926291,0.53041170,3.01217700
-9.19792891,0.53041170,3.01675500
-9.19659491,0.53041170,3.02133200
-9.19526091,0.53041170,3.02438400
-9.19392691,0.53041170,3.02743600
-9.19259291,0.53041170,3.03201400
-9.19125891,0.53041170,3.03506600
-9.18992491,0.53041170,3.03964400
-9.18859091,0.53193760,3.04422100
-9.18725691,0.53193760,3.04727300
-9.18592291,0.53193760,3.05032500
-9.18458891,0.53193760,3.05490300
-9.18325491,0.53193760,3.05795500
-9.18192091,0.53193760,3.06100600
-9.18058691,0.53193760,3.06405800
-9.17925291,0.53193760,3.06863600
-9.17791891,0.53193760,3.07168800
-9.17658491,0.53193760,3.07474000
-9.17525091,0.53193760,3.07931800
-9.17391691,0.53193760,3.08237000
-9.17258291,0.53193760,3.08542100
-9.17124891,0.53193760,3.08999900
-9.16991491,0.53193760,3.09305100
-9.16858091,0.53193760,3.09610300
-9.16724691,0.53193760,3.10068100
-9.16591291,0.53193760,3.10373300
-9.16457891,0.53193760,3.10678400
-9.16324491,0.53193760,3.10983600
-9.16191091,0.53193760,3.11441400
-9.16057691,0.53193760,3.11746600
